USER_ID,SIGNUP_DATE,MEMBERSHIP_TYPE,SALE_PRICE
1,2022-02-21,REGULAR,400000
2,2021-12-23,GOLD,500000
3,2022-02-27,GOLD,700000
4,2022-02-24,REGULAR,250000
5,2024-01-03,GOLD,90000
6,2024-01-04,REGULAR,79000
7,2024-01-05,GOLD,300000
8,2024-01-29,GOLD,800000
9,2024-01-30,REGULAR,500000
10,2024-01-31,GOLD,700000
11,2024-02-01,REGULAR,500000
12,2024-02-02,GOLD,690000
13,2024-02-03,REGULAR,78000
14,2024-02-04,GOLD,980000
15,2024-05-31,GOLD,650000
16,2024-06-01,GOLD,780000
17,2024-06-02,REGULAR,78000
18,2024-06-03,GOLD,850000
19,2024-06-04,GOLD,950000
20,2024-06-05,REGULAR,78900
